sku,product_name,month,year,units_sold,revenue
SKU-001,Industrial Bearing A,Jan,2024,137,1960.92
SKU-002,Hydraulic Pump B,Jan,2024,220,6656.03
SKU-003,Steel Plate C,Jan,2024,151,9950.02
SKU-004,Copper Wire D,Jan,2024,359,6750.3
SKU-005,Aluminum Sheet E,Jan,2024,296,4382.06
SKU-006,Rubber Gasket F,Jan,2024,127,3600.61
SKU-007,Circuit Board G,Jan,2024,338,18977.47
SKU-008,Motor Assembly H,Jan,2024,367,9878.07
SKU-009,Valve Kit I,Jan,2024,359,15406.55
SKU-010,Filter Element J,Jan,2024,309,17063.52
SKU-011,Gear Box K,Jan,2024,83,5603.62
SKU-012,Conveyor Belt L,Jan,2024,161,10161.53
SKU-013,Sensor Module M,Jan,2024,254,8292.0
SKU-014,Control Panel N,Jan,2024,190,15560.61
SKU-015,Pneumatic Cylinder O,Jan,2024,252,5017.38
SKU-016,Heat Exchanger P,Jan,2024,274,5346.27
SKU-017,Compressor Unit Q,Jan,2024,256,14405.16
SKU-018,Drive Belt R,Jan,2024,102,6671.37
SKU-019,Lubricant Oil S,Jan,2024,354,7628.66
SKU-020,Safety Valve T,Jan,2024,273,4972.15
SKU-001,Industrial Bearing A,Feb,2024,239,17359.01
SKU-002,Hydraulic Pump B,Feb,2024,411,31521.75
SKU-003,Steel Plate C,Feb,2024,275,14948.46
SKU-004,Copper Wire D,Feb,2024,119,1882.85
SKU-005,Aluminum Sheet E,Feb,2024,203,13915.13
SKU-006,Rubber Gasket F,Feb,2024,124,9239.31
SKU-007,Circuit Board G,Feb,2024,136,5448.04
SKU-008,Motor Assembly H,Feb,2024,324,18982.23
SKU-009,Valve Kit I,Feb,2024,276,6704.71
SKU-010,Filter Element J,Feb,2024,271,7503.79
SKU-011,Gear Box K,Feb,2024,224,14197.56
SKU-012,Conveyor Belt L,Feb,2024,120,6799.44
SKU-013,Sensor Module M,Feb,2024,173,8861.95
SKU-014,Control Panel N,Feb,2024,213,5185.84
SKU-015,Pneumatic Cylinder O,Feb,2024,284,9108.23
SKU-016,Heat Exchanger P,Feb,2024,379,10771.98
SKU-017,Compressor Unit Q,Feb,2024,255,18769.72
SKU-018,Drive Belt R,Feb,2024,112,3259.87
SKU-019,Lubricant Oil S,Feb,2024,99,7015.72
SKU-020,Safety Valve T,Feb,2024,296,9445.72
SKU-001,Industrial Bearing A,Mar,2024,203,15976.58
SKU-002,Hydraulic Pump B,Mar,2024,399,30338.62
SKU-003,Steel Plate C,Mar,2024,260,7258.01
SKU-004,Copper Wire D,Mar,2024,361,14867.18
SKU-005,Aluminum Sheet E,Mar,2024,339,7748.93
SKU-006,Rubber Gasket F,Mar,2024,163,4952.02
SKU-007,Circuit Board G,Mar,2024,396,20424.04
SKU-008,Motor Assembly H,Mar,2024,409,17816.63
SKU-009,Valve Kit I,Mar,2024,408,16914.27
SKU-010,Filter Element J,Mar,2024,207,17554.87
SKU-011,Gear Box K,Mar,2024,162,8009.39
SKU-012,Conveyor Belt L,Mar,2024,136,9152.01
SKU-013,Sensor Module M,Mar,2024,146,3442.83
SKU-014,Control Panel N,Mar,2024,173,12097.16
SKU-015,Pneumatic Cylinder O,Mar,2024,319,17780.95
SKU-016,Heat Exchanger P,Mar,2024,299,12010.05
SKU-017,Compressor Unit Q,Mar,2024,344,17496.11
SKU-018,Drive Belt R,Mar,2024,392,29363.36
SKU-019,Lubricant Oil S,Mar,2024,91,5625.67
SKU-020,Safety Valve T,Mar,2024,149,9226.68
SKU-001,Industrial Bearing A,Apr,2024,396,26507.7
SKU-002,Hydraulic Pump B,Apr,2024,284,5846.86
SKU-003,Steel Plate C,Apr,2024,338,8100.66
SKU-004,Copper Wire D,Apr,2024,90,7348.65
SKU-005,Aluminum Sheet E,Apr,2024,239,19827.89
SKU-006,Rubber Gasket F,Apr,2024,191,9417.62
SKU-007,Circuit Board G,Apr,2024,150,11341.89
SKU-008,Motor Assembly H,Apr,2024,259,19041.95
SKU-009,Valve Kit I,Apr,2024,379,21470.48
SKU-010,Filter Element J,Apr,2024,176,6971.14
SKU-011,Gear Box K,Apr,2024,181,9340.5
SKU-012,Conveyor Belt L,Apr,2024,393,31082.68
SKU-013,Sensor Module M,Apr,2024,432,15552.57
SKU-014,Control Panel N,Apr,2024,99,2040.43
SKU-015,Pneumatic Cylinder O,Apr,2024,296,22557.37
SKU-016,Heat Exchanger P,Apr,2024,265,7912.98
SKU-017,Compressor Unit Q,Apr,2024,227,17287.34
SKU-018,Drive Belt R,Apr,2024,134,2507.12
